0,1,2
5,4,2
6,5,2
7,6,2
8,7,3
9,5,2
9,8,3
10,9,4
11,6,2
11,7,2
11,10,4
12,11,5
13,4,2
13,7,3
13,10,2
13,12,5
14,5,2
14,9,2
14,11,2
14,13,6
15,8,3
15,14,6
16,5,2
16,13,2
16,15,7
17,6,2
17,9,4
17,10,2
17,11,3
17,12,2
17,13,2
17,14,2
17,16,7
18,17,8
19,5,2
19,6,2
19,10,4
19,15,2
19,18,8
20,7,2
20,13,3
20,17,3
20,19,9
21,4,2
21,11,5
21,16,2
21,20,9
22,7,3
22,13,2
22,17,2
22,19,3
22,21,10
23,6,2
23,8,3
23,9,2
23,12,5
23,13,3
23,14,2
23,15,4
23,22,10
24,5,2
24,17,2
24,19,3
24,23,11
25,6,2
25,7,2
25,8,3
25,13,6
25,14,2
25,19,3
25,21,2
25,24,11
26,5,2
26,9,3
26,17,4
26,21,2
26,23,4
26,25,12
27,7,3
27,14,6
27,16,2
27,17,3
27,23,2
27,26,12
28,9,4
28,11,2
28,17,2
28,23,2
28,25,4
28,27,13
29,4,2
29,5,2
29,6,2
29,10,4
29,11,2
29,15,7
29,16,2
29,17,2
29,19,5
29,20,2
29,22,3
29,23,3
29,24,2
29,28,13
30,13,2
30,17,2
30,19,2
30,23,2
30,29,14
31,6,2
31,8,3
31,10,4
31,16,7
31,17,2
31,19,2
31,26,2
31,30,14
32,9,2
32,11,4
32,19,3
32,21,5
32,25,2
32,27,3
32,29,5
32,31,15
33,10,2
33,13,3
33,14,2
33,17,8
33,20,3
33,25,4
33,26,2
33,28,2
33,29,2
33,32,15
34,5,2
34,7,2
34,11,5
34,27,4
34,29,4
34,31,5
34,33,16
35,6,2
35,9,4
35,12,5
35,18,8
35,19,4
35,22,2
35,23,6
35,31,2
35,34,16
36,5,2
36,7,3
36,11,2
36,13,2
36,23,2
36,29,2
36,31,3
36,35,17
37,4,2
37,10,2
37,12,5
37,14,2
37,16,2
37,19,9
37,20,3
37,21,4
37,22,3
37,26,2
37,28,4
37,30,2
37,31,3
37,34,2
37,36,17
38,13,5
38,15,3
38,21,2
38,23,3
38,25,6
38,27,3
38,29,2
38,31,3
38,33,3
38,35,6
38,37,18
39,5,2
39,7,2
39,8,3
39,10,4
39,11,3
39,14,2
39,20,9
39,22,2
39,25,2
39,28,2
39,31,4
39,38,18
40,13,6
40,17,2
40,29,2
40,31,3
40,33,2
40,37,6
40,39,19
41,6,2
41,7,3
41,8,3
41,9,2
41,12,2
41,14,6
41,21,10
41,22,3
41,23,2
41,24,2
41,26,2
41,27,7
41,28,2
41,30,2
41,31,5
41,32,2
41,34,2
41,35,3
41,36,2
41,37,2
41,38,2
41,40,19
42,13,2
42,25,4
42,29,2
42,37,4
42,41,20
43,6,2
43,11,5
43,13,2
43,14,6
43,17,4
43,19,2
43,22,10
43,23,3
43,24,3
43,26,4
43,27,4
43,33,3
43,36,3
43,39,2
43,42,20
44,5,2
44,9,3
44,15,6
44,17,2
44,19,2
44,25,3
44,27,2
44,29,7
44,31,2
44,35,5
44,37,3
44,39,5
44,41,7
44,43,21
45,4,2
45,14,2
45,16,2
45,17,3
45,23,11
45,26,2
45,29,4
45,32,2
45,34,5
45,44,21
46,5,2
46,9,4
46,13,3
46,15,7
46,17,2
46,21,2
46,25,2
46,27,2
46,29,2
46,33,2
46,35,2
46,37,2
46,39,3
46,41,4
46,43,7
46,45,22
47,6,2
47,8,3
47,12,5
47,16,7
47,17,2
47,20,2
47,24,11
47,25,5
47,26,2
47,28,4
47,30,2
47,31,8
47,33,2
47,36,2
47,37,3
47,46,22
48,7,2
48,13,2
48,17,2
48,19,4
48,29,4
48,31,3
48,37,2
48,41,5
48,43,4
48,47,23
49,5,2
49,10,4
49,13,3
49,15,2
49,16,7
49,25,12
49,26,4
49,27,3
49,29,2
49,30,2
49,31,2
49,37,6
49,38,2
49,39,5
49,41,4
49,43,3
49,45,2
49,48,23
50,7,3
50,9,2
50,11,2
50,17,7
50,33,8
50,39,2
50,41,2
50,43,3
50,47,8
50,49,24
51,10,4
51,11,2
51,13,6
51,14,2
51,22,3
51,26,12
51,28,2
51,29,5
51,31,2
